CustomerID,Lookalikes
C0001,"[('C0190', 0.668656183703348), ('C0048', 0.667229587713519), ('C0181', 0.5492256047237667)]"
C0002,"[('C0088', 0.6637324912143712), ('C0106', 0.49285346415447695), ('C0056', 0.4621626980204447)]"
C0003,"[('C0052', 0.5847241074973932), ('C0152', 0.5336247882844823), ('C0031', 0.4819594019701743)]"
C0004,"[('C0155', 0.46366098541094425), ('C0169', 0.4576140646116109), ('C0087', 0.4120868578714009)]"
C0005,"[('C0186', 0.7087811310005274), ('C0146', 0.630684116895887), ('C0007', 0.54397658910719)]"
C0006,"[('C0187', 0.5636001045754991), ('C0171', 0.5422120081219414), ('C0168', 0.5048705188341105)]"
C0007,"[('C0005', 0.54397658910719), ('C0115', 0.5434565382101929), ('C0140', 0.5416877978982569)]"
C0008,"[('C0065', 0.27737216356253824), ('C0059', 0.2755112160862776), ('C0160', 0.2723111761358111)]"
C0009,"[('C0198', 0.5437717457565818), ('C0062', 0.41927921094903375), ('C0103', 0.3802373057995833)]"
C0010,"[('C0111', 0.549157094525485), ('C0062', 0.5162082911424024), ('C0103', 0.4870841391155972)]"
C0011,"[('C0137', 0.6598662561542994), ('C0126', 0.6065288512002611), ('C0191', 0.554187156830371)]"
C0012,"[('C0195', 0.521726787682821), ('C0113', 0.5163928813382686), ('C0104', 0.5053800902730503)]"
C0013,"[('C0099', 0.5623480140501884), ('C0108', 0.5019888962844693), ('C0107', 0.33935893389409555)]"
C0014,"[('C0060', 0.4990064256005333), ('C0166', 0.2780021963883069), ('C0172', 0.26118290292020074)]"
C0015,"[('C0131', 0.5414753401395754), ('C0036', 0.5235832069717051), ('C0094', 0.36765322957604474)]"
C0016,"[('C0183', 0.75365180370466), ('C0067', 0.5277392189759491), ('C0176', 0.4376722844583623)]"
C0017,"[('C0075', 0.4189545607588181), ('C0057', 0.41573490163205845), ('C0041', 0.3956935264847158)]"
C0018,"[('C0117', 0.45984246124968303), ('C0046', 0.45074292186612536), ('C0122', 0.42456730063671316)]"
C0019,"[('C0081', 0.43424233696586395), ('C0121', 0.42921090768149256), ('C0132', 0.355781843097481)]"
C0020,"[('C0050', 0.3639574748590629), ('C0035', 0.30182878952581554), ('C0026', 0.28803469464179543)]"
